순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,43900,200,0.5,9528115,416192236090,43800,43900,43300,262073453945000,17.51,5969782550,,,2414.0
2,000660,SK하이닉스,76400,-500,-0.6,2015785,152870442255,75800,76400,75100,55619380686000,3.72,728002365,,,
3,005935,삼성전자우,36350,500,1.4,1022963,36901734461,36400,36400,35600,29911931545000,2.0,822886700,,,
4,005380,현대차,128000,500,0.4,352114,44545711500,126500,128000,125000,27349527936000,1.83,213668187,,,
5,035420,NAVER,139500,500,0.4,351686,48893318000,138500,140500,137500,22991468602500,1.54,164813395,,,
6,012330,현대모비스,239500,-500,-0.2,190339,45515219500,245000,245000,235000,22825953213000,1.52,95306694,,,
7,051910,LG화학,320000,-3500,-1.1,85005,27077574000,320000,320500,315000,22589549760000,1.51,70592343,,,
8,068270,셀트리온,154000,500,0.3,414772,63373135500,152500,154500,150000,19762676780000,1.32,128329070,,,
9,055550,신한지주,40200,-250,-0.6,1004793,40459510225,40900,40900,39900,19062823397400,1.27,474199587,,,
10,207940,삼성바이오로직스,287500,-2500,-0.9,98986,28480192500,286000,291500,285000,19022437500000,1.27,66165000,,,
11,017670,SK텔레콤,231500,-7500,-3.1,295362,68539032500,236000,236000,229000,18692632096500,1.25,80745711,,,
12,051900,LG생활건강,1179000,2000,0.2,18523,21805933000,1195000,1195000,1165000,18413854263000,1.23,15618197,,,
13,005490,POSCO,205000,-1000,-0.5,179348,36587325000,204500,205500,201500,17873301175000,1.19,87186835,,,
14,000270,기아차,43600,-50,-0.1,588051,25675248400,43400,43900,43350,17673841929200,1.18,405363347,,,
15,006400,삼성SDI,252500,-3000,-1.2,244780,61476831500,250000,253500,249000,17363043825000,1.16,68764530,,,
16,028260,삼성물산,87100,-600,-0.7,143093,12430958400,87000,87400,86100,16522002745300,1.1,189690043,,,
17,105560,KB금융,38450,-250,-0.6,1196674,45815079374,39000,39000,37750,16076388597650,1.07,418111537,,,
18,015760,한국전력,24700,-400,-1.6,1297416,32171675050,24900,25000,24600,15856512701900,1.06,641964077,,,
19,018260,삼성에스디에스,196500,-2000,-1.0,67737,13348985500,197500,198000,196000,15204737700000,1.02,77377800,,,
20,096770,SK이노베이션,158000,0,0.0,193779,30285741000,156500,158000,153500,14609559112000,0.98,92465564,,,
21,033780,KT&G,101500,1000,1.0,410474,41704099500,101000,102500,100500,13935188445500,0.93,137292497,,,
22,034730,SK,193000,-4500,-2.3,221878,42367835500,194500,194500,189000,13579537321000,0.91,70360297,,,
23,032830,삼성생명,65000,-700,-1.1,243109,15815027700,65500,65500,64700,13000000000000,0.87,200000000,,,
24,003550,LG,68800,-1200,-1.7,189917,13064512800,70100,70100,68500,11871930612800,0.79,172557131,,,
