번호,종목코드,기업명,업종코드,업종,상장주식수(주),자본금(원),액면가(원),통화구분,대표전화,주소,총카운트
1,060310,3S,032902,특수 목적용 기계 제조업,"44,772,143","22,386,071,500","500",원(KRW),02-896-9474,서울특별시 금천구  시흥대로71길 30-1 ,2276
2,095570,AJ네트웍스,147603,산업용 기계 및 장비 임대업,"46,822,295","46,822,295,000","1,000",원(KRW),02-6363-9999,"서울특별시 송파구 정의로8길 9 (문정동,AJ빌딩)",2276
3,068400,AJ렌터카,147601,운송장비 임대업,"22,146,300","11,073,150,000","500",원(KRW),1544-1600,서울특별시 구로구  서부샛길 822 ,2276
4,006840,AK홀딩스,116409,기타 금융업,"13,247,561","66,237,805,000","5,000",원(KRW),02-768-2923,서울특별시 마포구 양화로 188 - ,2276
5,054620,APS홀딩스,116409,기타 금융업,"20,394,221","10,197,110,500","500",원(KRW),031-776-1800,경기도 화성시 동탄면 동탄산단9길 23-12 (동탄면),2276
6,265520,AP시스템,032902,특수 목적용 기계 제조업,"14,099,511","7,049,755,500","500",원(KRW),031-379-2700,경기도 화성시  동탄면 동탄산단8길 15-5 &nbsp,2276
7,211270,AP위성,032604,통신 및 방송 장비 제조업,"15,014,804","7,507,402,000","500",원(KRW),02-2026-7800,서울특별시 금천구 가산디지털2로 98 IT캐슬 2동 9층 &nbsp,2276
8,027410,BGF,116409,기타 금융업,"95,369,179","95,369,179,000","1,000",,1577-3663,서울특별시 강남구 테헤란로 405 ,2276
9,282330,BGF리테일,074701,종합 소매업,"17,283,906","17,283,906,000","1,000",원(KRW),02-1577-8007,서울특별시 강남구 테헤란로 405 BGF사옥,2276
10,138930,BNK금융지주,116409,기타 금융업,"325,935,246","1,629,676,230,000","5,000",원(KRW),051-620-3023,부산광역시 남구 문현금융로 30(문현동) ,2276
11,001460,BYC,031401,봉제의복 제조업,"624,615","4,200,000,000","5,000",원(KRW),02-840-3175,서울특별시 영등포구 도림천로21길 3 ,2276
12,001040,CJ,116409,기타 금융업,"29,176,998","157,914,810,000","5,000",원(KRW),02-726-8114,"서울특별시 중구 소월로2길 12 (남대문로5가, CJ THE CENTER) ",2276
13,079160,CJ CGV,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업","21,161,313","10,580,656,500","500",원(KRW),02-371-6660,서울특별시 용산구 한강대로23길 55 아이파크몰 6층(한강로동) ,2276
14,035760,CJ ENM,106002,텔레비전 방송업,"21,929,154","110,577,370,000","5,000",원(KRW),02-2107-0114,서울특별시 서초구  과천대로 870-13 ,2276
15,000120,CJ대한통운,084903,도로 화물 운송업,"22,812,344","114,061,720,000","5,000",원(KRW),02-3782-0114,서울특별시 중구  세종대로9길 53 ,2276
16,011150,CJ씨푸드,031007,기타 식품 제조업,"35,930,773","18,065,386,500","500",원(KRW),031-730-9114,경기도 성남시 중원구  둔촌대로388번길 32 (상대원동),2276
17,097950,CJ제일제당,031007,기타 식품 제조업,"15,054,186","81,908,095,000","5,000",원(KRW),726-8114,서울특별시 중구  동호로 330 ,2276
18,051500,CJ프레시웨이,074603,음·식료품 및 담배 도매업,"11,871,586","11,871,586,000","1,000",원(KRW),02-2149-6007,경기도 용인시 기흥구  기곡로 32  ,2276
19,037560,CJ헬로,106002,텔레비전 방송업,"77,446,865","193,617,162,500","2,500",원(KRW),02-1855-1000,"서울특별시 마포구 월드컵북로56길 19 6층(상암동, 드림타워) ",2276
20,058820,CMG제약,032102,의약품 제조업,"108,892,244","54,446,122,000","500",원(KRW),02-3453-8816,서울특별시 강남구 도산대로66길 14 (청담동),2276
21,023460,CNH,116402,신탁업 및 집합투자업,"37,200,000","93,000,000,000","2,500",원(KRW),02-3287-0700,"경기도 부천시 원미구 상일로 120 411(상동,송내리더스텔)",2276
