종목명,2017,2018
3S,0,0
AJ네트웍스,1.23,2.22
AJ렌터카,0,0
AK홀딩스,0.95,1.39
APS홀딩스,0.0,0.0
AP시스템,0.0,0.69
AP위성,0,0
BGF,1.31,0.43
BGF리테일,0.48,1.31
BNK금융지주,2.44,4.09
BYC,0.28,0.41
CJ,0.85,1.19
CJ CGV,0.47,0.49
CJ ENM,1.3,0.59
CJ대한통운,0,0
CJ씨푸드,0,0
CJ제일제당,0.82,1.06
CJ프레시웨이,0.5,0.75
CJ헬로,1.06,0.82
CMG제약,0,0
CNH,1.52,1.44
CS,0,0
CSA 코스믹,0,0
CS홀딩스,0.62,0.78
DB,0,0
DB금융스팩6호,0,0
DB금융투자,2.5,5.62
DB손해보험,3.23,2.84
DB하이텍,2.08,2.3
DGB금융지주,3.22,4.33
DMS,0.74,2.18
DRB동일,1.24,1.64
DSC인베스트먼트,0,0
DSR,0.97,1.25
DSR제강,0.76,0.93
E1,3.51,3.58
EDGC,0,0
EG,0.45,0
EMW,0,0
F&F,1.55,1.62
GH신소재,2.62,0
GKL,2.5,2.85
GMR 머티리얼즈,0,0
GRT,0,0
GS,2.89,3.68
GST,0.81,0
GS건설,1.06,2.29
GS글로벌,0.89,1.01
GS리테일,1.49,1.6
GS홈쇼핑,3.0,3.9
GV,0,0
HB테크놀러지,1.12,0.63
HDC,3.49,0.87
HDC아이콘트롤스,1.71,3.68
HDC현대EP,1.76,1.4
HDC현대산업개발,0,1.04
HRS,1.88,1.06
HSD엔진,0,0
IBKS제10호스팩,0,0
IBKS제5호스팩,0,0
IBKS제6호스팩,0,0
IBKS제7호스팩,0,0
IBKS제9호스팩,0,0
ISC,1.75,1.71
ITX엠투엠,0,0
JB금융지주,1.65,3.16
JTC,0,0
JW생명과학,2.38,2.28
JW신약,0.7,0.89
JW중외제약,0.6,0.78
JW홀딩스,0.88,1.17
JYP Ent.,0,0.4
KBI메탈,0,0
KB금융,3.03,4.13
KB오토시스,3.56,5.18
KCC건설,1.6,1.84
KCI,2.1,2.31
KC그린홀딩스,2.12,2.15
KC산업,0,0
KC코트렐,2.09,1.88
KD건설,0,0
KEC,0.93,0
KG ETS,2.4,3.12
KG모빌리언스,2.47,2.72
KG이니시스,1.33,1.95
KG케미칼,1.43,2.01
KH바텍,0,0
KISCO홀딩스,1.68,2.04
KJ프리텍,0,0
KMH,0,1.6
KMH하이텍,0,0
KNN,2.45,3.0
KPX생명과학,5.5,0
KPX케미칼,2.86,3.82
KPX홀딩스,5.88,4.25
KR모터스,0,0
KSS해운,2.54,3.55
KTB투자증권,0,0
KTH,0,0
KTcs,3.52,3.62
KTis,2.65,3.27
KT서브마린,1.14,0.94
LF,1.6,2.01
LG,1.43,2.86
LG디스플레이,1.67,0
LG상사,0.92,1.63
LG생활건강,0.76,0.84
LG유플러스,2.86,2.27
LG이노텍,0.17,0.35
LG전자,0.38,1.2
LG하우시스,1.85,0.44
LG화학,1.48,1.73
LIG넥스원,0.84,1.35
LPK로보틱스,0,0
LS,1.72,2.55
LS네트웍스,0,0
LS산전,1.69,2.45
LS전선아시아,2.54,2.84
MH에탄올,5.52,5.94
MP그룹,0,0
MP한강,10.16,0
NAVER,0.17,0.26
NEW,0,0
NE능률,1.18,0
NHN벅스,0,0
NHN한국사이버결제,0.0,1.23
NH투자증권,3.6,3.83
NICE,0.89,1.0
NICE평가정보,1.61,1.74
NI스틸,1.71,2.2
OCI,1.43,0.79
PN풍년,0.93,1.11
RFHIC,0.3,0.81
S&K폴리텍,0,0
S&TC,0.0,0.0
S&T모티브,2.13,4.44
S&T중공업,0,2.72
S&T홀딩스,1.23,3.08
S-Oil,5.04,0.77
SBI인베스트먼트,0,0
SBI핀테크솔루션즈,0,0
SBS,0.97,0
SBS미디어홀딩스,0,0
SBS콘텐츠허브,0,1.52
SCI평가정보,0,0
SDN,0,0
SFA반도체,0,0
SG,0,0.53
SG&G,0,0
SGA,0,0
