종목명,ROE(자본수익률),EV/EABITDA(이익수익률)
3S,n/a,42.78
AJ네트웍스,16.78,4.27
AJ렌터카,1.55,3.67
AK홀딩스,13.82,4.05
APS홀딩스,0.59,n/a
AP시스템,25.75,7.27
AP위성,n/a,56.51
BGF,4.37,22.23
BGF리테일,33.88,11.3
BNK금융지주,6.84,n/a
BYC,2.26,10.67
CJ,6.91,7.4
CJ CGV,n/a,8.61
CJ ENM,8.58,8.32
CJ대한통운,1.5,15.32
CJ씨푸드,3.54,12.53
CJ제일제당,21.46,10.09
CJ프레시웨이,7.29,7.66
CJ헬로,3.88,3.68
CMG제약,6.01,104.47
CNH,0.74,n/a
CS,19.77,10.78
CSA 코스믹,n/a,101.27
CS홀딩스,2.89,8.21
DB,n/a,21.39
DB금융스팩6호,n/a,n/a
DB금융투자,8.58,n/a
DB손해보험,10.95,n/a
DB하이텍,17.12,3.44
DGB금융지주,9.3,n/a
DMS,10.61,5.51
DRB동일,1.73,6.31
DSC인베스트먼트,19.53,n/a
DSR,5.54,5.99
DSR제강,5.55,5.86
E1,6.47,23.99
EDGC,n/a,n/a
EG,n/a,n/a
EMW,n/a,12.56
F&F,31.64,6.1
GH신소재,1.03,19.3
GKL,14.21,12.69
GMR 머티리얼즈,n/a,n/a
GRT,16.67,2.11
GS,11.14,6.54
GST,12.42,3.61
GS건설,17.34,3.23
GS글로벌,5.48,8.58
GS리테일,5.86,9.16
GS홈쇼핑,12.46,7.58
GV,n/a,n/a
HB테크놀러지,4.38,13.98
HDC,38.82,11.66
HDC아이콘트롤스,11.99,10.36
HDC현대EP,3.02,12.73
HDC현대산업개발,n/a,6.49
HRS,n/a,12.3
HSD엔진,n/a,n/a
IBKS제10호스팩,n/a,n/a
IBKS제5호스팩,0.91,n/a
IBKS제6호스팩,0.46,n/a
IBKS제7호스팩,0.73,n/a
IBKS제9호스팩,n/a,n/a
ISC,8.13,5.75
ITX엠투엠,n/a,n/a
JB금융지주,8.69,n/a
JTC,18.52,0.0
JW생명과학,14.97,11.25
JW신약,n/a,111.06
JW중외제약,3.04,24.83
JW홀딩스,13.32,17.19
JYP Ent.,22.52,35.8
KBI메탈,5.43,15.78
KB금융,8.78,n/a
KB오토시스,14.18,3.37
KCC건설,6.97,3.07
KCI,16.99,6.72
KC그린홀딩스,7.6,7.43
KC산업,51.86,3.75
KC코트렐,5.4,10.81
KD건설,11.8,n/a
KEC,0.67,10.84
KG ETS,7.58,6.9
KG모빌리언스,6.04,12.0
KG이니시스,17.61,7.1
KG케미칼,1.37,7.07
KH바텍,n/a,n/a
KISCO홀딩스,3.29,8.5
KJ프리텍,n/a,n/a
KMH,23.7,9.89
KMH하이텍,7.88,5.95
KNN,4.16,9.13
KPX생명과학,n/a,40.92
KPX케미칼,2.54,6.61
KPX홀딩스,0.6,12.28
KR모터스,n/a,n/a
KSS해운,8.73,8.67
KTB투자증권,6.73,n/a
KTH,0.43,5.67
KTcs,7.3,6.54
KTis,4.92,6.72
KT서브마린,n/a,9.9
LF,7.35,4.51
LG,10.96,5.83
LG디스플레이,n/a,3.68
LG상사,n/a,8.76
LG생활건강,20.98,15.65
LG유플러스,7.97,4.26
LG이노텍,8.02,4.54
LG전자,9.03,4.09
LG하우시스,n/a,7.78
LG화학,8.86,7.77
LIG넥스원,0.71,18.82
LPK로보틱스,n/a,n/a
LS,13.73,8.69
LS네트웍스,2.59,43.18
LS산전,10.78,5.54
LS전선아시아,8.18,8.81
MH에탄올,n/a,20.9
MP그룹,n/a,57.72
MP한강,11.8,15.84
NAVER,12.97,17.29
