날짜,시가,고가,저가,종가,거래량
20170519,45640,45780,44720,44720,315247
20170522,45040,45380,44760,45100,352871
20170523,45400,45580,44900,44920,252141
20170524,44860,45300,44800,44880,173508
20170525,45160,45680,44800,45680,260896
20170526,45600,46460,45540,46080,272273
20170529,46220,46400,45380,45620,174791
20170530,45520,45660,44480,44640,248672
20170531,44580,45020,44400,44700,373382
20170601,44860,44900,44400,44680,195070
20170602,45060,45960,45000,45960,249775
20170605,46040,46360,45720,45940,151988
20170607,46500,46500,45240,45300,274588
20170608,45000,45580,45000,45160,279575
20170609,45680,46440,45600,46100,234657
20170612,45420,45600,45140,45380,219086
20170613,45140,45620,45140,45400,172498
20170614,45800,46060,45240,45360,203334
20170615,45680,45920,45180,45680,193140
20170616,45500,45940,45460,45580,348069
20170619,45580,46560,45560,46560,226078
20170620,47240,48140,47220,48140,300900
20170621,47740,48120,47480,47480,199473
20170622,47960,48080,47720,47960,229116
20170623,47600,47780,47420,47620,190302
20170626,47520,48360,47520,48280,171056
20170627,48220,48400,47900,48300,192335
20170628,47600,48000,47560,47700,191450
20170629,48040,48320,47940,47940,166131
20170630,47500,47620,47100,47540,237551
20170703,47500,47780,47120,47220,136111
20170704,47160,47400,46900,47000,159220
20170705,46820,47680,46780,47580,212805
20170706,48000,48100,47720,48060,218461
20170707,47740,48120,47620,47860,162638
20170710,48500,48900,48320,48660,215855
20170711,48640,49000,48280,49000,194356
20170712,49000,50000,48840,49880,189723
20170713,50080,50940,50040,50560,320683
20170714,51000,51080,50420,50480,164780
20170717,50900,51020,50520,50640,179522
20170718,50420,50880,50360,50840,141689
20170719,50620,50820,50000,50740,223150
20170720,50760,51320,50560,51200,167352
20170721,50860,51160,50520,51080,168981
20170724,50700,51000,50620,50860,141995
20170725,50500,50760,49940,50000,216212
20170726,49600,50020,49300,49840,224496
20170727,50000,50640,49560,49800,228990
20170728,49800,49800,47380,47760,523366
20170731,47420,48240,46920,48200,254028
20170801,48000,48840,47540,48600,227390
20170802,49200,49340,48600,49000,155549
20170803,49000,49000,47120,47780,310816
20170804,48160,48180,47500,47700,167184
20170807,47500,48080,47440,47580,144365
20170808,47980,48260,47480,47720,159592
20170809,47400,47400,46240,46280,291108
20170810,46200,46320,45460,45900,459723
20170811,45120,45300,44220,44620,508146
20170814,45120,45400,44720,45000,383712
20170816,46220,46380,46000,46200,438273
20170817,46960,47300,46740,47040,248317
20170818,46760,47240,46240,46900,209559
20170821,47240,47240,46580,46840,102069
20170822,46820,47160,46700,47000,147635
20170823,47780,47780,47180,47480,187694
20170824,47520,47660,47340,47520,173149
20170825,47880,47880,46720,47020,224871
20170828,47020,47240,45960,46100,199242
20170829,45640,46080,45160,46080,252473
20170830,46380,46400,45960,46200,150260
20170831,46220,46640,46000,46320,220234
20170901,46460,46640,46300,46480,212834
20170904,45780,46360,45500,46040,158870
20170905,46240,46900,45960,46760,234322
20170906,46760,47180,46700,47000,216221
20170907,47000,48220,47000,48120,193530
20170908,48700,49180,48580,49080,217860
20170911,49700,50180,49500,49800,207495
20170912,50200,50220,49140,49600,240595
20170913,49820,50400,49440,49620,187140
20170914,50060,50320,49760,50300,284095
20170915,50300,50560,49860,50400,215146
20170918,50540,52480,50520,52480,230499
20170919,52500,52640,51780,52120,197008
20170920,52120,52500,51840,52220,185855
20170921,52219,52960,52219,52800,176796
20170922,52960,53600,52459,53000,278448
20170925,52999,53679,52999,53620,186062
20170926,53020,53120,51560,51660,341144
20170927,52000,52200,51500,51680,215940
20170928,52260,52460,51260,51260,240509
20170929,51180,51620,50840,51280,258188
