종목명,시가총액,매출액,PSR,상승률,상승하락,년초가,현재가,결산월
3S,98050680,358,273884.58,1.314,상승,2280,2995,2019/03
AJ네트웍스,212103660,10567,20072.27,1.092,상승,4530,4945,2018/12
AJ렌터카,273503100,6525,41916.18,0.878,하락,12750,11200,2018/12
AK홀딩스,687571200,37112,18526.92,0.827,하락,53900,44600,2018/12
APS홀딩스,85756770,284,301960.46,1.825,상승,4225,7710,2018/12
AP시스템,303150000,7142,42446.09,1.19,상승,21850,26000,2018/12
AP위성,99099000,428,231539.72,1.026,상승,6460,6630,2018/12
BGF,759137240,2206,344123.86,0.832,하락,8050,6700,2018/12
BGF리테일,3551862000,57759,61494.52,1.012,상승,201000,203500,2018/12
BNK금융지주,2281545000,36288,62873.26,0.992,하락,7270,7210,2018/12
BYC,160000000,1979,80848.91,0.923,하락,246500,227500,2018/12
CJ,3384532000,295234,11463.9,0.791,하락,121000,95700,2018/12
CJ CGV,852788300,17694,48196.47,0.911,하락,41100,37450,2018/12
CJ ENM,4308459000,34268,125728.35,0.849,하락,202700,172100,2018/12
CJ대한통운,3798198000,92197,41196.55,0.846,하락,166000,140500,2018/12
CJ씨푸드,83180265,1507,55195.93,1.068,상승,2350,2510,2018/12
CJ제일제당,4982874000,186701,26689.06,0.859,하락,330500,284000,2018/12
CJ프레시웨이,303329600,28281,10725.56,1.14,상승,26350,30050,2018/12
CJ헬로,701669820,11780,59564.5,0.714,하락,9060,6470,2018/12
CMG제약,432499164,499,866731.79,0.701,하락,4081,2860,2018/12
CNH,51708000,152,340184.21,1.022,상승,1390,1420,2018/12
CS,36351550,587,61927.68,1.605,상승,1875,3010,2018/12
CSA 코스믹,76326020,635,120198.46,1.017,상승,4100,4170,2018/12
CS홀딩스,73394400,1226,59864.93,0.965,하락,62600,60400,2018/12
DB,166974420,2371,70423.63,0.995,하락,830,826,2018/12
DB금융스팩6호,9704200,0,0,1.047,상승,2005,2100,2018/12
DB금융투자,183366720,2988,61367.71,1.085,상승,4445,4825,2018/12
DB손해보험,4920600000,136949,35930.16,0.751,하락,70600,53000,2018/12
DB하이텍,466189500,6693,69653.29,1.276,상승,10850,13850,2018/12
DGB금융지주,1361625300,20293,67098.28,0.93,하락,8310,7730,2018/12
DMS,105025920,2987,35161.0,1.174,상승,4600,5400,2018/12
DRB동일,129146400,5454,23679.21,0.858,하락,6560,5630,2018/12
DSC인베스트먼트,70525000,153,460947.71,0.862,하락,4080,3515,2018/12
DSR,62720000,2360,26576.27,1.164,상승,4020,4680,2018/12
DSR제강,60624000,1853,32716.68,1.102,상승,4305,4745,2018/12
E1,377986000,46302,8163.49,1.02,상승,55700,56800,2018/12
EDGC,189184790,215,879929.26,1.021,상승,5220,5330,2018/12
EG,89250000,1126,79262.88,0.859,하락,11600,9960,2018/12
EMW,88359520,803,110036.76,1.0,보합,2780,2780,2018/12
F&F,617540000,6687,92349.33,1.988,상승,40100,79700,2018/12
GH신소재,26785000,653,41018.38,1.263,상승,2430,3070,2018/12
GKL,1481451200,4803,308442.89,0.738,하락,24650,18200,2018/12
GMR 머티리얼즈,43913350,1127,38964.82,0.842,하락,625,526,2018/12
GRT,120601250,3054,39489.6,1.078,상승,1865,2010,2018/06
GS,4506377500,177444,25396.05,1.016,상승,51100,51900,2018/12
GST,41045790,1299,31597.99,1.438,상승,4410,6340,2018/12
GS건설,3348227400,131394,25482.35,0.778,하락,44000,34250,2018/12
GS글로벌,198081600,40585,4880.66,1.06,상승,2480,2630,2018/12
GS리테일,3022250000,86916,34772.08,0.97,하락,39900,38700,2018/12
GS홈쇼핑,1136055300,11044,102866.29,0.95,하락,180800,171800,2018/12
GV,46392570,532,87204.08,1.567,상승,1720,2695,2018/12
HB테크놀러지,252373050,2739,92140.58,0.946,하락,3235,3060,2018/12
HDC,988730100,15478,63879.71,0.76,하락,17300,13150,2018/12
HDC아이콘트롤스,155053200,2720,57004.85,0.998,하락,9520,9500,2018/12
HDC현대EP,138605500,9108,15218.0,1.253,상승,4310,5400,2018/12
HDC현대산업개발,2128796100,27927,76227.17,0.738,하락,47800,35300,2018/12
HRS,46448200,746,62263.0,0.872,하락,2850,2485,2018/12
HSD엔진,168029700,5113,32863.23,0.636,하락,5350,3400,2018/12
IBKS제10호스팩,8898150,0,0,1.105,상승,2055,2270,2018/12
IBKS제5호스팩,11034000,0,0,1.188,상승,2463,2925,2018/12
IBKS제6호스팩,8932050,0,0,1.174,상승,2070,2430,2018/12
IBKS제7호스팩,7683250,0,0,1.096,상승,2072,2270,2018/12
IBKS제9호스팩,9604800,0,0,1.063,상승,3442,3660,2018/12
ISC,121488370,1159,104821.72,1.059,상승,8780,9300,2018/12
ITX엠투엠,25110650,277,90652.17,1.087,상승,1500,1630,2018/12
JB금융지주,1091285820,19265,56646.03,1.005,상승,5700,5730,2018/12
JTC,230339480,5189,44389.96,1.022,상승,6750,6900,2019/02
JW생명과학,350745250,1552,225995.65,1.077,상승,22000,23700,2018/12
JW신약,273752190,918,298205.0,0.759,하락,6720,5100,2018/12
