종목명,ROE(자본수익률),EV/EABITDA(이익수익률),상승률,상승/하락,2019시초가,현재가
3S,n/a,42.78,1.145,상승,2280,2610
AJ네트웍스,16.78,4.27,1.212,상승,4530,5490
AJ렌터카,1.55,3.67,0.859,하락,12750,10950
AK홀딩스,13.82,4.05,0.887,하락,53900,47800
APS홀딩스,0.59,n/a,0.938,하락,4225,3965
AP시스템,25.75,7.27,1.199,상승,21850,26200
AP위성,n/a,56.51,1.087,상승,6460,7020
BGF,4.37,22.23,0.939,하락,8050,7560
BGF리테일,33.88,11.3,0.965,하락,201000,194000
BNK금융지주,6.84,n/a,1.004,상승,7270,7300
BYC,2.26,10.67,0.959,하락,246500,236500
CJ,6.91,7.4,0.855,하락,121000,103500
CJ CGV,n/a,8.61,0.876,하락,41100,36000
CJ ENM,8.58,8.32,0.926,하락,202700,187600
CJ대한통운,1.5,15.32,0.931,하락,166000,154500
CJ씨푸드,3.54,12.53,1.232,상승,2350,2895
CJ제일제당,21.46,10.09,0.859,하락,330500,284000
CJ프레시웨이,7.29,7.66,1.042,상승,26350,27450
CJ헬로,3.88,3.68,0.805,하락,9060,7290
CMG제약,6.01,104.47,0.882,하락,4280,3775
CNH,0.74,n/a,1.09,상승,1390,1515
CS,19.77,10.78,2.229,상승,1875,4180
CSA 코스믹,n/a,101.27,1.017,상승,4100,4170
CS홀딩스,2.89,8.21,1.01,상승,62600,63200
DB,n/a,21.39,1.169,상승,830,970
DB금융스팩6호,n/a,n/a,1.042,상승,2005,2090
DB금융투자,8.58,n/a,1.134,상승,4445,5040
DB손해보험,10.95,n/a,0.878,하락,70600,62000
DB하이텍,17.12,3.44,1.364,상승,10850,14800
DGB금융지주,9.3,n/a,1.0,보합,8310,8310
DMS,10.61,5.51,1.207,상승,4600,5550
DRB동일,1.73,6.31,0.939,하락,6560,6160
DSC인베스트먼트,19.53,n/a,0.968,하락,4080,3950
DSR,5.54,5.99,1.361,상승,4020,5470
DSR제강,5.55,5.86,1.166,상승,4305,5020
E1,6.47,23.99,1.018,상승,55700,56700
EDGC,n/a,n/a,1.307,상승,5220,6820
EG,n/a,n/a,0.884,하락,11600,10250
EMW,n/a,12.56,1.0,보합,2780,2780
F&F,31.64,6.1,1.975,상승,40100,79200
GH신소재,1.03,19.3,1.465,상승,2430,3560
GKL,14.21,12.69,0.817,하락,24650,20150
GMR 머티리얼즈,n/a,n/a,0.917,하락,625,573
GRT,16.67,2.11,1.241,상승,1865,2315
GS,11.14,6.54,0.996,하락,51100,50900
GST,12.42,3.61,1.592,상승,4410,7020
GS건설,17.34,3.23,0.943,하락,44000,41500
GS글로벌,5.48,8.58,1.119,상승,2480,2775
GS리테일,5.86,9.16,0.907,하락,39900,36200
GS홈쇼핑,12.46,7.58,0.956,하락,180800,172800
GV,n/a,n/a,1.177,상승,1720,2025
HB테크놀러지,4.38,13.98,1.068,상승,3235,3455
HDC,38.82,11.66,0.925,하락,17300,16000
HDC아이콘트롤스,11.99,10.36,1.056,상승,9520,10050
HDC현대EP,3.02,12.73,1.234,상승,4310,5320
HDC현대산업개발,n/a,6.49,0.957,하락,47800,45750
HRS,n/a,12.3,0.923,하락,2850,2630
HSD엔진,n/a,n/a,0.738,하락,5350,3950
