종목명,PBR,GP/A
3S,3.37,0.03
BGF,0.47,0.04
BGF리테일,6.71,0.24
BYC,0.48,0.05
CJ CGV,8.02,0.09
CJ ENM,1.14,0.12
CJ대한통운,0.88,0.05
CJ씨푸드,nan,nan
CJ제일제당,0.98,0.08
CJ헬로,0.5,0.26
CS,2.83,0.06
CS홀딩스,0.32,0.05
DB,0.97,0.1
DB하이텍,1.11,0.11
DRB동일,0.34,0.08
DSR,0.54,0.06
DSR제강,nan,nan
F&F,3.3,0.43
GKL,2.3,0.07
GS,0.56,0.08
GS건설,0.85,0.05
GS글로벌,0.59,0.06
GS리테일,1.43,0.14
HDC아이콘트롤스,0.84,0.04
HDC현대EP,0.59,0.08
HDC현대산업개발,0.93,0.09
HSD엔진,0.58,-0.0
KC그린홀딩스,0.54,0.08
KC코트렐,1.14,0.05
KH바텍,1.13,0.04
KISCO홀딩스,0.33,0.04
KNN,0.88,0.06
KPX케미칼,0.63,0.08
KPX홀딩스,0.4,0.05
KR모터스,2.24,0.03
KSS해운,0.63,0.03
KTcs,0.61,1.27
KTis,nan,nan
LG,0.72,0.04
LG디스플레이,0.47,0.03
LG상사,0.52,0.07
LG생활건강,5.97,0.4
LG유플러스,0.92,0.42
LG이노텍,1.24,0.05
LG전자,0.95,0.17
LG하우시스,0.65,0.13
LG화학,1.6,0.07
LIG넥스원,nan,nan
LS,0.46,0.06
LS네트웍스,0.42,0.05
LS산전,1.13,0.09
LS전선아시아,2.02,0.06
MH에탄올,0.7,0.03
NAVER,2.73,0.27
NICE,1.28,0.38
NI스틸,nan,nan
OCI,0.66,0.01
S&TC,0.45,0.05
S&T모티브,0.91,0.07
S&T중공업,0.35,0.02
S&T홀딩스,0.3,0.05
S-Oil,1.52,0.03
SBS,0.64,0.05
SBS미디어홀딩스,0.47,0.02
SG세계물산,1.11,0.15
SG충방,0.77,0.04
SH에너지화학,1.38,0.03
SIMPAC,0.45,0.04
SK,0.89,0.04
SKC,0.93,0.06
SK네트웍스,0.53,0.06
SK디앤디,1.63,0.02
SK이노베이션,0.78,0.04
SK케미칼,1.06,0.08
SK텔레콤,0.85,0.21
SPC삼립,2.25,0.22
STX,3.13,0.04
STX엔진,0.85,0.05
STX중공업,0.74,0.01
THE MIDONG,1.29,0.01
WISCOM,0.34,0.03
YG PLUS,0.84,0.11
가온전선,0.3,0.04
감마누,0.35,0.08
강남제비스코,0.32,0.04
강원랜드,1.73,0.1
갤럭시아에스엠,2.61,0.01
경농,1.87,0.14
경동나비엔,1.84,0.18
경동도시가스,0.44,0.09
경동인베스트,0.24,0.04
경방,0.4,0.04
경보제약,nan,nan
경인양행,1.18,0.1
경인전자,0.68,0.02
경창산업,0.3,0.03
계룡건설산업,0.58,0.05
고려산업,0.88,0.07
고려신용정보,3.92,1.43
고려아연,1.39,0.06
고려제강,0.38,0.05
광명전기,1.16,0.04
광전자,0.65,0.04
광진실업,nan,nan
국도화학,0.52,0.07
국동,0.84,0.13
국보,7.93,0.03
국일신동,nan,nan
국제약품,1.27,0.19
그린케미칼,nan,nan
극동유화,0.75,0.08
글로벌에스엠,0.51,0.1
글로벌텍스프리,1.87,0.23
금강공업,0.39,0.06
금비,0.66,0.13
금양,1.19,0.08
금호산업,1.41,0.04
금호석유화학,1.26,0.08
금호에이치티,0.8,0.03
금호전기,0.43,0.07
기신정기,0.55,0.02
기아자동차,0.62,0.08
까뮤이앤씨,nan,nan
깨끗한나라,0.62,0.05
나노메딕스,7.03,0.0
나무기술,5.39,0.12
나이벡,nan,nan
나이스정보통신,0.99,0.1
남광토건,2.53,0.06
남성,1.38,0.06
남양유업,0.53,0.11
남영비비안,0.41,0.4
남해화학,nan,nan
네오팜,4.35,0.28
네이처셀,nan,nan
넥센,0.37,0.08
넥센타이어,0.68,0.09
넥스트사이언스,1.54,0.01
노루페인트,0.5,0.11
노루홀딩스,0.45,0.1
농심,0.78,0.13
농심홀딩스,0.45,0.04
뉴보텍,nan,nan
다나와,3.36,0.43
다스코,0.81,0.08
대교,0.91,0.07
대구백화점,0.22,0.08
대동공업,0.59,0.14
대동기어,nan,nan
대동전자,0.36,0.01
대림비앤코,0.48,0.08
대림산업,0.78,0.06
대림씨엔에스,nan,nan
대림통상,0.63,0.06
대보마그네틱,nan,nan
대상,0.91,0.16
대상홀딩스,0.49,0.15
대성미생물,nan,nan
대성산업,0.47,0.05
대성에너지,0.49,0.11
대양금속,nan,nan
대영포장,nan,nan
대우건설,0.81,0.05
대우부품,nan,nan
대우조선해양,0.84,0.04
대웅,1.53,0.19
대웅제약,3.11,0.2
대원강업,0.6,0.04
대원미디어,1.22,0.12
대원전선,1.18,0.04
대원제약,1.6,0.29
대원화성,0.91,0.1
대유,nan,nan
대유에이텍,1.24,0.07
대유플러스,1.03,0.04
대창,0.66,0.05
대창단조,0.44,0.09
대창솔루션,1.72,0.02
대한뉴팜,nan,nan
대한방직,0.65,0.02
대한유화,0.49,0.03
대한제강,0.43,0.07
대한제당,0.46,0.05
대한제분,0.44,0.1
대한항공,1.06,0.03
대한해운,0.78,0.03
대한화섬,nan,nan
대현,nan,nan
대호에이엘,nan,nan
대화제약,3.53,0.14
더블유게임즈,1.76,0.24
더존비즈온,8.49,0.24
덕산네오룩스,nan,nan
덕성,0.82,0.05
덕신하우징,0.83,0.1
덕양산업,0.86,0.01
덴티움,3.54,0.15
도화엔지니어링,1.48,0.62
동국S&C,0.53,0.04
동국제강,0.33,0.05
동남합성,nan,nan
동방,0.59,0.06
동방아그로,0.66,0.15
동부건설,0.61,0.04
동부제철,nan,0.02
동북아12호선박투자,nan,nan
동북아13호선박투자,nan,nan
동서,1.49,0.03
동성제약,nan,nan
동성코퍼레이션,0.9,0.09
동아지질,1.52,0.06
동아타이어,nan,nan
동양,0.45,0.02
동양고속,0.64,0.06
동양물산기업,1.61,0.09
동양철관,2.29,0.04
동양파일,nan,nan
동양피스톤,0.71,0.07
동원F&B,1.66,0.21
동원금속,0.93,0.03
동원산업,0.83,0.07
동원수산,0.77,0.2
동원시스템즈,2.52,0.06
동일고무벨트,0.45,0.08
동일기연,0.87,0.11
동일산업,0.4,0.03
동일제강,nan,nan
동화약품,0.91,0.15
두산,1.08,0.06
두산건설,0.84,0.03
두산인프라코어,0.59,0.09
두산중공업,0.38,0.06
두올산업,1.9,0.09
드림텍,2.72,0.09
디스플레이텍,nan,nan
디씨엠,0.81,0.08
디아이,0.91,0.07
디아이동일,0.41,0.13
디아이씨,0.38,0.03
디와이,0.42,0.09
디와이파워,0.98,0.13
디지캡,nan,nan
디지틀조선,1.51,0.05
디티알오토모티브,0.57,0.08
디피씨,1.35,0.12
라이온켐텍,nan,nan
락앤락,1.25,0.12
램테크놀러지,2.01,0.09
레고켐바이오,5.59,0.06
롯데관광개발,2.83,0.03
롯데정밀화학,0.96,0.08
롯데케미칼,0.67,0.05
롯데푸드,nan,nan
롯데하이마트,nan,nan
리노공업,nan,nan
마니커,1.74,0.05
만도,0.93,0.08
맥스로텍,nan,nan
머큐리,nan,nan
메가스터디교육,1.81,0.3
메디파트너생명공학,40.48,0.0
메디프론,nan,nan
메타랩스,1.33,0.14
멜파스,nan,nan
모나리자,nan,nan
모나미,0.66,0.13
모아텍,0.65,0.01
모토닉,0.84,0.03
무학,0.59,0.06
문배철강,nan,nan
미래산업,2.45,0.02
미래아이앤지,0.83,0.01
미스터블루,3.1,0.34
미원상사,1.08,0.1
미원에스씨,1.68,0.13
미원홀딩스,0.71,0.05
미원화학,nan,nan
미창석유공업,nan,nan
바다로19호,1.0,0.06
바른손,1.11,0.02
바이넥스,2.0,0.15
