3S,98.87,4.09,273884.58,3381057.93,46.49,2280,3340
AJ네트웍스,4.00,0.62,20072.27,-283561.04,1.55,4530,4600
AJ렌터카,-,0.86,41916.18,-1081039.92,-23.37,12750,9770
AK홀딩스,4.57,0.57,18526.92,216694.36,-34.51,53900,35300
APS홀딩스,125.17,0.62,301960.46,-1588088.33,82.01,4225,7690
AP시스템,12.51,2.90,42446.09,-616158.54,1.6,21850,22200
AP위성,-,1.01,231539.72,-9009000.0,-6.35,6460,6050
BGF,9.96,0.37,344123.86,-2599785.07,-28.7,8050,5740
BGF리테일,24.10,7.10,61494.52,1027143.44,3.73,201000,208500
BNK금융지주,4.41,0.29,62873.26,643776.81,-8.67,7270,6640
BYC,21.42,0.48,80848.91,325865.58,-0.81,246500,244500
CJ,9.83,0.63,11463.9,219617.94,-29.01,121000,85900
CJ CGV,-,5.87,48196.47,784533.85,-19.95,41100,32900
CJ ENM,13.07,1.01,125728.35,734354.7,-24.17,202700,153700
CJ대한통운,80.12,0.97,41196.55,6136022.62,-21.08,166000,131000
CJ씨푸드,45.78,1.60,55195.93,-8318026.5,22.55,2350,2880
CJ제일제당,4.97,0.90,26689.06,1057037.34,-19.52,330500,266000
CJ프레시웨이,23.95,1.68,10725.56,525701.21,13.28,26350,29850
CJ헬로,10.21,0.38,59564.5,267201.0,-40.95,9060,5350
CMG제약,42.23,2.46,876856.81,48616838.67,-41.19,4081,2400
CNH,65.92,0.49,340184.21,-783454.55,-5.04,1390,1320
CS,10.80,1.96,61927.68,2596539.29,33.6,1875,2505
CSA 코스믹,-,3.49,120198.46,-1623957.87,1.71,4100,4170
CS홀딩스,10.97,0.31,59864.93,719552.94,-6.23,62600,58700
DB,-,0.93,70423.63,2455506.18,-7.83,830,765
C:/workspace/mquant_study/book/할수있다퀀트투자/chapter_8_36.py:102: RuntimeWarning: divide by zero encountered in double_scalars
  pcr = str(round(market_capitalization/cash_flow, 2))
DB금융스팩6호,104,250.00,1.15,0,-inf,4.49,2005,2095
DB금융투자,3.19,0.26,61367.71,108629.57,-8.66,4445,4060
DB손해보험,7.03,0.73,35930.16,1996996.75,-27.2,70600,51400
DB하이텍,6.43,0.96,69653.29,258563.23,19.35,10850,12950
DGB금융지주,3.08,0.27,67098.28,369304.39,-16.97,8310,6900
DMS,6.25,0.63,35161.0,-462669.25,-4.02,4600,4415
DRB동일,17.19,0.29,23679.21,464555.4,-22.26,6560,5100
DSC인베스트먼트,9.39,1.65,460947.71,-698267.33,-28.68,4080,2910
DSR,6.96,0.38,26576.27,1363478.26,-11.19,4020,3570
DSR제강,7.02,0.38,32716.68,588582.52,-13.12,4305,3740
E1,4.33,0.27,8163.49,204648.62,-10.23,55700,50000
EDGC,-,3.26,879929.26,-3153079.83,-12.36,5220,4575
EG,-,1.77,79262.88,-4697368.42,-30.6,11600,8050
EMW,-,3.42,110036.76,1699221.54,0.0,2780,2780
F&F,9.66,2.68,92349.33,2262051.28,67.33,40100,67100
GH신소재,57.77,0.65,41018.38,2976111.11,3.29,2430,2510
GKL,14.16,1.96,308442.89,1596391.38,-27.79,24650,17800
GMR 머티리얼즈,-,1.55,38964.82,2439630.56,-25.6,625,465
GRT,1.97,0.30,39489.6,197383.39,-15.01,1865,1585
GS,5.07,0.54,25396.05,355056.53,-5.28,51100,48400
GST,5.72,0.66,31597.99,1784599.57,35.6,4410,5980
GS건설,4.35,0.71,25482.35,324157.94,-29.55,44000,31000
GS글로벌,8.66,0.46,4880.66,-1923122.33,-10.08,2480,2230
GS리테일,25.03,1.45,34772.08,930495.69,-3.13,39900,38650
GS홈쇼핑,7.79,0.88,102866.29,2480470.09,-8.19,180800,166000
GV,-,0.89,87204.08,-2728974.71,31.69,1720,2265
HB테크놀러지,27.91,1.19,92140.58,-3457165.07,-21.33,3235,2545
HDC,0.72,0.36,63879.71,773049.34,-30.06,17300,12100
HDC아이콘트롤스,5.89,0.69,57004.85,417933.15,-6.62,9520,8890
HDC현대EP,16.90,0.49,15218.0,1690310.98,4.41,4310,4500
HDC현대산업개발,6.79,0.85,76227.17,468278.95,-29.29,47800,33800
HRS,-,0.45,62263.0,-268486.71,-31.93,2850,1940
HSD엔진,-,0.38,32863.23,913204.89,-47.66,5350,2800
IBKS제10호스팩,-,1.13,0,-inf,5.35,2055,2165
IBKS제5호스팩,140.23,1.27,0,11034000.0,-2.96,2463,2390
IBKS제6호스팩,271.21,1.25,0,-8932050.0,17.39,2070,2430
IBKS제7호스팩,157.27,1.15,0,7683250.0,7.14,2072,2220
IBKS제9호스팩,-,1.66,0,-inf,-11.1,3442,3060
ISC,7.83,0.61,104821.72,736293.15,-11.73,8780,7750
ITX엠투엠,-,1.25,90652.17,5022130.0,-19.67,1500,1205
JB금융지주,3.78,0.35,56646.03,252554.0,-2.81,5700,5540
JTC,18.79,0.85,44389.96,1758316.64,-14.96,6750,5740
JW생명과학,21.27,3.08,225995.65,971593.49,-4.32,22000,21050
JW신약,-,4.65,298205.0,3699353.92,-42.19,6720,3885
JW중외제약,65.16,1.94,154146.87,1589399.23,-40.86,40750,24100
